Date,COIN
2021-04-14,328.2799987792969
2021-04-15,322.75
2021-04-16,342.0
2021-04-19,333.0
2021-04-20,320.82000732421875
2021-04-21,311.9200134277344
2021-04-22,293.45001220703125
2021-04-23,291.6000061035156
2021-04-26,304.5400085449219
2021-04-27,302.0
2021-04-28,298.04998779296875
2021-04-29,294.7699890136719
2021-04-30,297.6400146484375
2021-05-03,294.2099914550781
2021-05-04,280.6600036621094
2021-05-05,273.0
2021-05-06,256.760009765625
2021-05-07,263.70001220703125
2021-05-10,293.45001220703125
2021-05-11,303.0
2021-05-12,283.6099853515625
2021-05-13,265.1000061035156
2021-05-14,258.3699951171875
2021-05-17,248.24000549316406
2021-05-18,239.0
2021-05-19,224.8000030517578
2021-05-20,233.39999389648438
2021-05-21,224.35000610351562
2021-05-24,225.3000030517578
2021-05-25,242.41000366210938
2021-05-26,241.52000427246094
2021-05-27,247.08999633789062
2021-05-28,236.5399932861328
2021-06-01,238.92999267578125
2021-06-02,240.47999572753906
2021-06-03,233.66000366210938
2021-06-04,228.7899932861328
2021-06-07,231.4499969482422
2021-06-08,220.66000366210938
2021-06-09,224.32000732421875
2021-06-10,221.85000610351562
2021-06-11,223.9199981689453
2021-06-14,239.10000610351562
2021-06-15,232.2100067138672
2021-06-16,228.0500030517578
2021-06-17,230.66000366210938
2021-06-18,229.2899932861328
2021-06-21,222.60000610351562
2021-06-22,222.47000122070312
2021-06-23,226.00999450683594
2021-06-24,229.92999267578125
2021-06-25,224.5399932861328
2021-06-28,246.69000244140625
2021-06-29,254.89999389648438
2021-06-30,253.3000030517578
2021-07-01,241.44000244140625
2021-07-02,240.72000122070312
2021-07-06,235.41000366210938
2021-07-07,251.97000122070312
2021-07-08,244.2899932861328
2021-07-09,253.8800048828125
2021-07-12,247.6699981689453
2021-07-13,243.30999755859375
2021-07-14,229.94000244140625
2021-07-15,224.6300048828125
2021-07-16,225.00999450683594
2021-07-19,220.61000061035156
2021-07-20,224.9600067138672
2021-07-21,230.8699951171875
2021-07-22,226.0800018310547
2021-07-23,224.9199981689453
2021-07-26,245.4499969482422
2021-07-27,235.0800018310547
2021-07-28,241.75
2021-07-29,235.77999877929688
2021-07-30,236.5800018310547
2021-08-02,235.39999389648438
2021-08-03,230.17999267578125
2021-08-04,244.36000061035156
2021-08-05,255.5
2021-08-06,258.260009765625
2021-08-09,280.4700012207031
2021-08-10,269.6700134277344
2021-08-11,278.3999938964844
2021-08-12,256.5
2021-08-13,261.25
2021-08-16,256.8299865722656
2021-08-17,250.8000030517578
2021-08-18,244.38999938964844
2021-08-19,248.24000549316406
2021-08-20,257.32000732421875
2021-08-23,256.0
2021-08-24,259.2799987792969
2021-08-25,256.7699890136719
2021-08-26,248.5399932861328
2021-08-27,259.1199951171875
2021-08-30,262.6600036621094
2021-08-31,259.0
2021-09-01,265.8999938964844
2021-09-02,268.17999267578125
2021-09-03,278.44000244140625
2021-09-07,266.80999755859375
2021-09-08,258.20001220703125
2021-09-09,256.4200134277344
2021-09-10,248.32000732421875
2021-09-13,242.83999633789062
2021-09-14,243.0
2021-09-15,247.07000732421875
2021-09-16,243.2100067138672
2021-09-17,245.19000244140625
2021-09-20,236.52999877929688
2021-09-21,238.4600067138672
2021-09-22,241.85000610351562
2021-09-23,237.5
2021-09-24,231.82000732421875
2021-09-27,232.24000549316406
2021-09-28,229.83999633789062
2021-09-29,225.27999877929688
2021-09-30,227.47999572753906
2021-10-01,231.14999389648438
2021-10-04,229.30999755859375
2021-10-05,240.08999633789062
2021-10-06,250.3800048828125
2021-10-07,251.58999633789062
2021-10-08,248.13999938964844
2021-10-11,256.5
2021-10-12,249.3300018310547
2021-10-13,246.77999877929688
2021-10-14,260.0
2021-10-15,280.6099853515625
2021-10-18,293.3399963378906
2021-10-19,305.6300048828125
2021-10-20,314.7099914550781
2021-10-21,300.010009765625
2021-10-22,300.8399963378906
2021-10-25,325.5400085449219
2021-10-26,319.489990234375
2021-10-27,311.6700134277344
2021-10-28,319.1300048828125
2021-10-29,319.4200134277344
2021-11-01,330.989990234375
2021-11-02,336.3399963378906
2021-11-03,344.3800048828125
2021-11-04,344.45001220703125
2021-11-05,337.04998779296875
2021-11-08,353.9200134277344
2021-11-09,357.3900146484375
2021-11-10,328.6000061035156
2021-11-11,336.3900146484375
2021-11-12,342.9800109863281
2021-11-15,345.3599853515625
2021-11-16,342.1199951171875
2021-11-17,346.5199890136719
2021-11-18,323.57000732421875
2021-11-19,332.54998779296875
2021-11-22,315.4800109863281
2021-11-23,317.20001220703125
2021-11-24,312.3800048828125
2021-11-26,303.19000244140625
2021-11-29,319.3900146484375
2021-11-30,315.0
2021-12-01,294.5
2021-12-02,284.7099914550781
2021-12-03,265.6499938964844
2021-12-06,263.239990234375
2021-12-07,286.4200134277344
2021-12-08,287.4800109863281
2021-12-09,263.9100036621094
2021-12-10,255.75999450683594
2021-12-13,251.3699951171875
2021-12-14,255.86000061035156
2021-12-15,258.29998779296875
2021-12-16,247.1699981689453
2021-12-17,243.35000610351562
2021-12-20,238.0500030517578
2021-12-21,247.69000244140625
2021-12-22,254.5500030517578
2021-12-23,268.1499938964844
2021-12-27,280.2699890136719
2021-12-28,261.3299865722656
2021-12-29,252.60000610351562
2021-12-30,256.7900085449219
2021-12-31,252.3699951171875
2022-01-03,251.0500030517578
2022-01-04,250.14999389648438
2022-01-05,234.22999572753906
2022-01-06,234.0
2022-01-07,232.3300018310547
2022-01-10,225.00999450683594
2022-01-11,237.22999572753906
2022-01-12,234.6999969482422
2022-01-13,228.22999572753906
2022-01-14,230.02999877929688
2022-01-18,222.0
2022-01-19,219.5
2022-01-20,221.6199951171875
2022-01-21,191.97000122070312
2022-01-24,191.47999572753906
2022-01-25,185.6300048828125
2022-01-26,178.63999938964844
2022-01-27,170.1999969482422
2022-01-28,177.5800018310547
2022-01-31,190.14999389648438
2022-02-01,197.72999572753906
2022-02-02,187.3699951171875
2022-02-03,181.30999755859375
2022-02-04,194.44000244140625
2022-02-07,205.74000549316406
2022-02-08,208.72999572753906
2022-02-09,214.5
2022-02-10,204.77000427246094
2022-02-11,194.52999877929688
2022-02-14,195.25
2022-02-15,208.9499969482422
2022-02-16,207.9600067138672
2022-02-17,191.9199981689453
2022-02-18,189.16000366210938
2022-02-22,176.75999450683594
2022-02-23,172.74000549316406
2022-02-24,179.55999755859375
2022-02-25,176.8300018310547
2022-02-28,190.77000427246094
2022-03-01,196.1699981689453
2022-03-02,194.5
2022-03-03,178.02999877929688
2022-03-04,165.75
2022-03-07,161.13999938964844
2022-03-08,161.99000549316406
2022-03-09,178.97000122070312
2022-03-10,172.97000122070312
2022-03-11,160.07000732421875
2022-03-14,153.19000244140625
2022-03-15,155.97999572753906
2022-03-16,172.52999877929688
2022-03-17,177.22000122070312
2022-03-18,185.94000244140625
2022-03-21,176.80999755859375
2022-03-22,186.0800018310547
2022-03-23,183.11000061035156
2022-03-24,190.19000244140625
2022-03-25,186.7100067138672
2022-03-28,201.41000366210938
2022-03-29,204.52999877929688
2022-03-30,196.6999969482422
2022-03-31,189.86000061035156
2022-04-01,186.9600067138672
2022-04-04,191.64999389648438
2022-04-05,177.1699981689453
2022-04-06,166.83999633789062
2022-04-07,166.19000244140625
2022-04-08,160.94000244140625
2022-04-11,153.8699951171875
2022-04-12,149.85000610351562
2022-04-13,154.7899932861328
2022-04-14,147.2899932861328
2022-04-18,145.16000366210938
2022-04-19,151.27000427246094
2022-04-20,147.1300048828125
2022-04-21,137.32000732421875
2022-04-22,131.52000427246094
2022-04-25,135.13999938964844
2022-04-26,127.1500015258789
2022-04-27,122.55000305175781
2022-04-28,122.69000244140625
2022-04-29,112.70999908447266
2022-05-02,121.33999633789062
2022-05-03,123.55999755859375
2022-05-04,130.14999389648438
2022-05-05,114.25
2022-05-06,103.73999786376953
2022-05-09,83.51000213623047
2022-05-10,72.98999786376953
2022-05-11,53.720001220703125
2022-05-12,58.5
2022-05-13,67.87000274658203
2022-05-16,61.70000076293945
2022-05-17,70.0
2022-05-18,63.029998779296875
2022-05-19,67.41999816894531
2022-05-20,66.1500015258789
2022-05-23,66.0999984741211
2022-05-24,61.36000061035156
2022-05-25,67.16999816894531
2022-05-26,69.87000274658203
2022-05-27,75.31999969482422
2022-05-31,78.0999984741211
2022-06-01,68.62999725341797
2022-06-02,73.81999969482422
2022-06-03,66.69000244140625
2022-06-06,70.66999816894531
2022-06-07,69.56999969482422
2022-06-08,69.19999694824219
2022-06-09,63.7599983215332
2022-06-10,58.709999084472656
2022-06-13,52.0099983215332
2022-06-14,51.58000183105469
2022-06-15,55.0099983215332
2022-06-16,51.04999923706055
2022-06-17,51.220001220703125
2022-06-21,57.4900016784668
2022-06-22,51.90999984741211
2022-06-23,58.880001068115234
2022-06-24,62.709999084472656
2022-06-27,55.959999084472656
2022-06-28,51.18000030517578
2022-06-29,49.75
2022-06-30,47.02000045776367
2022-07-01,49.040000915527344
2022-07-05,55.40999984741211
2022-07-06,51.709999084472656
2022-07-07,57.459999084472656
2022-07-08,60.290000915527344
2022-07-11,53.880001068115234
2022-07-12,54.2400016784668
2022-07-13,53.099998474121094
2022-07-14,53.41999816894531
2022-07-15,53.790000915527344
